,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
10145,GOSR2,TRAK2,CEP78,IGHMBP2,LCLAT1,ZNF131,FAM78A,RBM14
10146,SENP2,PRIM2,TYK2,AP000769.7,RP11-849H4.2,RNF139-AS1,SSH1,CISH
10147,FBXL6,ECE2,TMEM44-AS1,KIN,MEFV,FAM104B,TBC1D2,CD300C
10148,SLC43A1,PRPF3,RFNG,PTPN12,CSF1R,DPP8,ELP6,ITFG2
10149,UBTD1,NPHP3,PRR14L,MLC1,SLC27A5,SLC22A15,GABPA,ZC3HAV1
10150,SEPHS1,SUZ12,GATAD2A,NDFIP2,WDR3,NDUFAF7,XPO4,XRRA1
10151,MEAF6,OGT,SCAI,PIKFYVE,SERPINE2,KIAA1432,RPAP2,FRMD8
10152,PCED1A,CHAC2,ZMYM4,TMEM116,MYBBP1A,MRVI1,MMAB,SNAPC2
10153,C14orf93,MRPS28,MMAA,ZNF3,KLC4,MYO5A,EIF4E3,IDH3A
10154,AGPAT4,NIPAL3,MANBA,TAF1B,YAE1D1,PDZK1IP1,TJAP1,INO80E
10155,SMAD5,EIF4ENIF1,TIAM2,TBC1D17,TSNAX,NOL10,LARP4,ANKRD54
10156,RP11-428G5.5,ATF7,IDUA,CYBB,LINC00176,AGO3,PUS1,EIF2B4
10157,SPAG8,PIN1,CIZ1,FGFR1,SLC2A4RG,ELP2,COMMD9,OLIG1
10158,RP11-386G11.10,TMEM97,KCNE3,AP1G1,CTD-2033A16.3,TFPT,CDK7,CCDC66
10159,SLC37A1,TRERF1,DPM3,NGFRAP1,AC007246.3,CRISPLD2,CCDC92,FEM1A
10160,HIATL1,LPGAT1,UCK1,PTCD1,ATP6V1E1,MED4,CD6,CTA-217C2.1
10161,SLC12A5,UBE2V2,TET2,KMT2C,RIN2,MCM4,KBTBD8,LATS1
10162,BCL6,PARL,ZNF395,STXBP4,ZNF677,GORAB,GTPBP8,FAM35A
10163,BCDIN3D,ZAP70,EPOR,RP11-65I12.1,HDAC3,TNFSF14,ENTPD3-AS1,GATAD2B
10164,OGFOD1,C1GALT1C1,EIF3J-AS1,SNRPB2,PEX6,PSTK,ARV1,PTPRN2
10165,FBLIM1,RP11-425D10.10,TRAPPC2,UNKL,TAF1A,SLC16A1,IFI16,PSMD3
10166,RP11-290D2.6,KHNYN,APAF1,OSBPL7,TRIM5,GPX3,ZNF784,NDUFAF2
10167,HLTF,FEM1B,RAB20,RP11-544A12.8,POP1,SOCS6,ULK1,MDFIC
10168,LUZP1,NAGA,TSPAN5,DICER1-AS1,ING2,MYLPF,EAF1,IGSF8
10169,PITPNA-AS1,LILRB4,SF3B4,FADS3,SWI5,RP11-195F19.5,AEN,CSF2RA
10170,RP11-693J15.5,TAB1,PCBD1,TP53BP2,SEPN1,CHCHD7,PCMTD2,CXorf40A
10171,C19orf40,ZMYM4,C21orf59,FAM47E,SLC22A17,KIAA1430,MRPS15,TRNAU1AP
10172,SRPR,AP4E1,CTDP1,GPBAR1,ACTR3B,MIB1,SLC25A32,EXOSC5
10173,PRKRIR,RPF1,ARIH2OS,GNA12,TIFA,PCNXL2,DZIP3,CDC73
10174,STYXL1,TMEM183A,TTLL5,ZNF701,TRAF1,TDP2,RREB1,CASC7
10175,ELP6,LRRC69,VSTM1,NIT1,XPR1,PHOSPHO2,MIEF1,KRR1
10176,ABCB1,SIKE1,ELF4,ST3GAL5,P2RX1,PPP1R15B,FAM126A,HIRIP3
10177,AMN1,RP11-381K20.2,FXYD6,AP5B1,RP11-730K11.1,LSM14B,R3HDM1,IFNAR1
10178,ZNF764,DGUOK,WHSC1,MED15,KMT2B,VOPP1,P4HTM,EOMES
10179,DCAF5,ACBD4,CRK,RP11-474G23.2,PHF12,TACO1,DRAM1,EEF1E1
10180,PGRMC2,ZSCAN30,SAR1B,RAB33B,MCOLN3,MBNL3,PRIM2,ACSM3
10181,MCPH1,DBF4B,TM9SF4,MRPS2,ENTPD3-AS1,TBC1D31,AQP10,D2HGDH
10182,ACSS1,LINC-PINT,ZC3HAV1,ARHGAP5-AS1,MCRS1,TUBB2A,NEIL2,EHD4
10183,GINM1,RNF24,FBP1,ETAA1,ANAPC13,THEMIS,RP11-611L7.1,UNC13D
10184,USPL1,TMEM57,PPP1R37,HAPLN3,IQSEC1,NR2C2,TCP11L2,UCKL1
10185,KLHL22,NQO1,CSGALNACT1,ZNF559,OXCT1,GNB4,PAWR,JMY
10186,UBE2H,UPF1,METTL17,FAAH2,SS18L1,ACTR6,LANCL1,TICAM1
10187,KIAA0753,AKIRIN1,RP11-354P11.3,MRRF,HSF2,ICMT,ADD1,CCDC43
10188,PSTK,MRTO4,PNRC2,SNIP1,CPSF6,CLN5,ZNF652,DOK3
10189,IMMP2L,NDC1,FBXW9,AGTPBP1,RALGPS1,MGEA5,METTL15,DEXI
10190,DCAF8,HAGHL,PAQR8,ATP10D,ZNF512B,NMNAT3,PDE8A,MUS81
10191,ATP8A1,SLC38A7,ARID1B,ZNF592,CARKD,NAB2,MED4-AS1,SLC25A14
10192,FAM208B,AK3,COX6C,SPERT,DNAJC5,RP11-102N12.3,SREK1,C12orf4
10193,OVCH1-AS1,FAM193B,APOBEC3A,MEF2C,PHKA2,ARHGAP6,BCL3,BCCIP
10194,CUL9,DMD,BIN3,KLHL3,CIPC,RBM26-AS1,TVP23C,SPTAN1
10195,EXOC1,SNAPC2,OGFR,DAAM1,VPS8,GCC2,SRRD,PGP
10196,ZFP1,TACO1,IMPA1,CSTF2,AACS,TOP2A,NOP2,DESI2
10197,TOR1B,TBC1D20,BAD,SUGP2,SREBF2,SRFBP1,TMEM245,POR
10198,ZNF227,VPREB3,PRKD2,S1PR1,GNA12,WDR46,RP3-329E20.2,GSTZ1
10199,TOM1L2,MED13L,SFXN3,ZMIZ1,KRT73,RRM1,SNRPD2,FAM102A
10200,INSL3,MFSD7,IL18R1,TTN-AS1,MTMR1,BFAR,CTD-2054N24.2,KIAA0922
10201,ASXL1,CD5,GSK3B,TTC31,RP3-322G13.5,RP11-345P4.9,TNFSF12,ENTPD1
10202,KCTD10,STAC3,CDC73,CCDC58,MTHFD1,FADS3,CD3EAP,TRAF3
10203,NDUFS1,GLCCI1,IL1RN,METTL2A,RP11-135A24.4,YTHDF2,SASH3,GLTP
10204,UFM1,TRMT13,FARSB,PAIP2B,PEX1,NPRL2,C1QTNF4,ARAP2
10205,C1orf198,PLAGL1,DXO,SLC16A7,EIF4E3,WNT10A,GPR126,MAT2A
10206,ZNF865,OSBPL5,TNFRSF18,GPA33,PQLC1,RP11-327P2.5,AP2A2,GTPBP10
10207,RAB7L1,RP13-582O9.7,CRAT,FAM84B,VOPP1,MGAT4A,PKN2,C8orf58
10208,RPL34-AS1,CNOT6,TNNC2,STAG2,FN3K,EMC2,VMO1,THADA
10209,SYT5,LINC00106,ZNF394,GTF2H1,SDHAF1,ARMC5,MYO1B,QPCT
10210,PXN-AS1,OCRL,IPP,LYPD2,USP30-AS1,RP11-343N15.5,LACE1,FGD2
10211,MPP7,FAM72A,GPBAR1,RAB27A,LA16c-358B7.3,ZNF319,NPEPPS,S1PR5
10212,RP11-140K17.3,FANCG,C11orf1,MYO16,CSF2RB,NLK,NTMT1,RPL39L
10213,RFFL,ARGLU1,TUBGCP6,PANX1,NAB1,CSNK1G2,ARHGEF18,DNMT1
10214,PDHX,RMDN3,MSH3,ZNF419,SLMAP,ZNF322,RPS6KB2,CSAD
10215,PPP1R3E,RP11-728F11.4,NAB1,PNPLA2,ST3GAL3,SELM,INTS5,PXMP2
10216,ELP3,NID1,LRRC8B,MBTPS1,SH2B3,AK3,GNL3L,CTDNEP1
10217,RAB3GAP2,ACAD10,PERP,HLA-DQB2,KLHL7,MPI,MARS2,DHX29
10218,PARP15,POT1,RP11-468E2.4,HEXDC,RP3-402G11.26,FAM73B,DNAJC25,BPGM
10219,STX18-AS1,SLC38A5,U2AF2,INTS8,TRAPPC8,TMEM116,THAP9,TCHP
10220,COPG1,TTC9C,TGFBR3,GTPBP8,HMGN5,LINC00526,WDR33,KEAP1
10221,PRRG2,SLA2,RPS13,CASP1,RANBP10,HADH,H1F0,PGRMC2
10222,GNL2,NFKBIZ,TMEM116,ZCCHC10,CTD-2547L24.4,MCM7,RP11-457M11.5,ANKFY1
10223,ZSCAN16-AS1,CEP97,DUSP3,MRPL49,THAP1,FASTKD5,ZNF516,MEI1
10224,ARHGEF9,SLC9A1,C6orf211,AURKC,LIN7C,ZNF682,FOXJ3,C1orf35
10225,ARMC1,ZSCAN16,PEX11B,DSTN,ARHGAP18,HECTD4,AC079767.4,EID3
10226,GLI4,MYLPF,TRAPPC11,USP3-AS1,RP13-977J11.2,HNRNPA1L2,IQCG,MRRF
10227,OXCT1,NOL11,ACOT13,ZNF235,RAB2B,ZC3H7A,RNF169,PTRH2
10228,PROK2,EIF1AX,ZADH2,AC109333.10,TEX10,POLH,RNF219,HERC1
10229,CASC3,SOAT1,ARHGAP11B,ZNF780B,RP11-229P13.20,CINP,BUD13,NSMF
10230,RNF41,ADAP1,ALCAM,KPNA4,GPSM2,POLR3F,KCTD3,NXF1
10231,L3MBTL2,SH3BP2,ORC2,HMG20A,PCSK7,EFHC2,C3orf14,C14orf142
10232,CTU1,MRPL2,TRMU,SGTB,PRR12,VPS53,TOPORS,NEDD1
10233,FANCM,LRRK1,CA2,HIPK2,ZNF600,MCUR1,FXYD7,CHAF1A
10234,GPR174,FASN,RP11-544A12.8,IFIT2,OLFM2,LRRFIP1,TMEM11,E4F1
10235,GUCY1B3,AL133245.2,AC079922.3,DOPEY2,LINC00426,HELB,MEIS1,RP13-1032I1.7
10236,LRRC34,GGACT,PTTG1IP,SLC9B2,CHN2,DNAH6,PPIL1,MYL6B
10237,RP11-265P11.2,PNN,LHFPL2,RP3-508I15.19,ZNF100,CPOX,AP3B1,SUN1
10238,RP5-887A10.1,FCGR3B,MT1E,TPP1,RP1-102H19.8,ZNF169,CYB5RL,TRABD2A
10239,PLBD2,KLF16,ITGB3BP,PCBP3,RPP40,S100A13,LRP1,METTL25
10240,SYNE2,AHCYL1,SAMM50,C9orf156,ZNF362,NDUFA3,RP11-680G24.5,TOB1
10241,BBS4,ZNF195,NBPF9,SYPL1,ZRANB1,PFKP,ATF7IP,PTGES2
10242,OIP5,MRPL43,ATG4B,POR,ZZEF1,ACTA2,RNF121,COQ5
10243,YWHAG,DUSP2,TMCO3,WDR27,CD300E,GTPBP8,ATP11B,MAP2K7
10244,DLEC1,WDR34,C1QB,RP11-344P13.6,ESF1,SERPINE1,OPA1,GPATCH2L
10245,IKZF1,NUP153,ANKRD11,C7orf43,ZNF611,FAM168B,NT5C3B,NBEAL2
10246,RNASEH2A,CYB5R3,NOP2,MTR,GM2A,GABPB1,RNF207,COPZ1
10247,PRKRIP1,SLC9A8,SOCS2,BNIP3,PIGM,B3GALT4,RPF1,GTF2F1
10248,IRAK1BP1,MYPOP,NIPBL,FAM118B,C6orf120,SPG20,AKT1,MIB2
10249,FAM214A,C15orf38,NFE2L1,FSD1L,EHBP1L1,DVL3,TUSC1,NUP54
10250,BEND5,RP11-261C10.3,RAB37,TSPAN31,BDH1,WDR35,FAM8A1,BMPR2
10251,MRE11A,KIAA0125,SIGLEC7,IFFO2,PIAS4,MACROD1,MRPL19,DYNLT3
10252,TSPAN5,ZNF283,RBM4B,TRIM26,SENP7,BMPR2,DUS2,ALG3
10253,PRDM4,IVNS1ABP,CREG1,ZNF487,ZNF783,SS18,C11orf84,CCDC101
10254,WDR75,SLC33A1,KIAA1429,PCK2,PYGO2,KCTD1,MOCS2,PHGDH
10255,FAM13B,PPM1D,C15orf48,SLC7A1,RIN1,XRN1,MPV17L2,PWP1
10256,ZNF141,CUL3,ERLIN2,L3MBTL3,DCAF11,IKBKAP,RRAGB,SHOC2
10257,ATAD3C,L3MBTL3,FAM117B,UBE2M,CEBPB,RP11-169K16.9,VWDE,RRN3
10258,KANSL1L,TMTC1,SRC,GALNT3,TCEAL3,FANK1,MTMR6,PIGH
10259,LARP4B,RPL7L1,RPL35A,SEH1L,RNF145,RPS8,CAMKK2,PUS1
10260,TACC3,AC010883.5,MICU2,ITPK1,CSDE1,OXSM,STAP1,CHRNB1
10261,GTPBP4,PDE2A,TPGS2,ITGAX,CEP85,FAM179B,JADE1,TIMMDC1
10262,CASZ1,NARG2,LINC00339,ARL6IP1,GNL3L,THAP5,PET117,MRPL50
10263,EI24,NUP188,SLC39A7,FAM149B1,ZMYM1,CXCR6,SNRPN,CD1D
10264,HSPBP1,DENND2D,SMG1,RP11-464F9.20,PPP2R1B,ABCC3,CHST2,FKBP15
10265,ZKSCAN3,ITGA6,RP11-802E16.3,TNRC6A,YIPF4,USP6NL,MTMR2,PIGC
10266,ACVR1C,TLR1,THRA,EFHC1,ZNF24,PPA2,TBX21,SIRPG
10267,C8orf33,RPS17,OGFRL1,LRRFIP2,WDFY2,PTPLAD1,CD70,XPOT
10268,LMBR1L,SLC35G1,DCBLD1,ABHD5,PPP2R5E,ITPK1,FAM105B,NOTCH2
10269,VCAN,PDK3,ZMAT5,RASSF6,RBM19,RP3-325F22.5,SETBP1,QSOX1
10270,PSMD12,DYNLL2,SNORD3D,AC093673.5,SECTM1,TGFB3,AC012360.4,YPEL2
10271,ELMOD2,PRSS53,C1orf50,RP11-582J16.4,LRP1,FBXW4,USO1,RDH14
10272,NUDT5,KIF3B,ZNF398,RNF216,GTF2IRD2,DDX26B,REEP4,TBCD
10273,RP11-533E19.7,MINPP1,SCRN2,BAIAP3,RNF141,TAF1A,KPTN,SFXN4
10274,HARBI1,CYHR1,EIF2D,SSR1,SFSWAP,TSPAN5,SLC50A1,FDPS
10275,RFPL1S,LSM7,ANP32B,C20orf201,AQR,ADAM9,BCL7C,UTP6
10276,ZBTB48,CGRRF1,RP11-345J4.5,TOLLIP,CXCL16,AL591479.1,ZNF266,GAR1
10277,CA13,LASP1,IL18BP,HADH,STRN,DESI2,RP11-74E22.3,SUCLG2
10278,ZNF763,ARL6,EIF2S2,FAM120C,TONSL,ABCF3,PSRC1,PIM3
10279,RP13-580F15.2,LSM5,MFGE8,CCT6B,KRT18,EEF1A1,KIF21A,CWC27
10280,RP5-1136G13.2,TMEM102,POLR1D,CPEB4,EPHB6,IER5,CTA-211A9.5,MAP3K1
10281,C11orf54,CEBPZ-AS1,HSD17B8,USP44,HRSP12,GSTM3,ZNF684,RP11-489E7.4
10282,MCUR1,JMJD8,NUBP2,ANGPTL6,CACNA2D4,IQSEC2,NFKBIL1,TFAM
10283,FAM177B,ASCC1,NEK9,ITGB2-AS1,NACA2,CMC2,RAB3D,PGAP2
10284,HSD17B7,C12orf65,CDA,MED17,RP13-1032I1.7,CISD2,AC084018.1,BAZ1B
10285,MDM4,FAM129C,CDPF1,LGALS9C,ABR,NECAP1,SPAG9,HAUS2
10286,ZFPL1,BBC3,SIRT7,RPS13,PPP1R17,RNF14,FBXO33,VPS13B
10287,ADCK1,STAG3,TSPAN15,ZNF513,HEATR3,RP11-195F19.9,SSBP2,INPP4A
10288,TMC4,MANBAL,RP11-539L10.2,SPIDR,ECD,MRPL13,ZBTB25,C12orf44
10289,AKT1,CNEP1R1,ATXN7L1,C9orf41,MTMR14,ICAM1,CCDC91,HES1
10290,ST6GALNAC2,COMMD2,INADL,TRIM35,WBSCR22,CCR1,DERA,FCRL6
10291,HNRNPH2,SUV39H1,EML2,ACPL2,FTSJ2,GDPD3,TMEM177,MLLT11
10292,TBC1D7,DOT1L,KLF9,EMR2,SLC35E2B,L2HGDH,PALLD,RAD23A
10293,CEPT1,STRIP1,AFF1,SLC35B4,RALBP1,F11R,NUDCD2,UPF3B
10294,ZBTB44,NRP2,XPR1,TIPIN,ALAD,RNF144A,MLLT3,TPK1
10295,CXorf56,TFAP4,FURIN,TBRG1,ZNF410,NUBPL,RAB30-AS1,RP11-427H3.3
10296,RP11-212P7.2,CAMSAP1,TBCK,CLK2,TTC39B,GMFB,ZZEF1,YTHDF1
10297,NCOA5,TBX21,PHLDB3,STIM1,RP13-580F15.2,PDIA4,ALKBH5,NUCKS1
10298,APH1B,MARCH8,DOK1,RPS10P7,TSPAN15,IPO4,HNRNPK,HELQ
10299,AKT3,ASGR2,AP003774.6,FAM115C,CTD-2369P2.2,MPP7,ADARB1,ARHGAP27
10300,ZNF527,STAT3,SPARC,NUP214,MBD6,RP13-977J11.2,CYB5D2,ZFP90
10301,WDFY1,PRNP,AC004951.6,CYFIP1,TIGD1,GTPBP6,ZNF547,PRSS23
10302,ANP32A,KLF10,CDH1,RP11-294J22.6,RP5-864K19.4,RCN2,KIAA1524,FARSB
10303,SLC7A1,UTY,RSAD2,RNF187,C18orf21,KLF9,SEPN1,RFC4
10304,CNPY3,TSG101,SYTL2,SLC25A25,CRTC1,TXNDC15,ARAP3,SLC2A3
10305,PACSIN1,ORC3,SRP19,FAM219A,USO1,NT5M,ALKBH4,FNDC3A
10306,DEDD,TLE3,SMAP1,ZFP69,RRAS2,GIMAP8,MAP3K1,BCL2A1
10307,LINC00264,FRYL,DDA1,C6orf211,SUPV3L1,UMPS,MAP2K5,SEC24A
10308,GPR124,FTCDNL1,TP53I13,FYCO1,STAT5B,BCL6,ADTRP,TFEB
10309,RP11-318E3.9,ATP2C1,AARSD1,DCAF4,EEPD1,HAUS3,RP11-138I18.2,FAM134B
10310,TMEM214,EPT1,PNMA5,ANKLE2,KB-1208A12.3,MPHOSPH6,ENTPD1,ANTXR2
10311,COX11,GPR84,C5orf30,FAM111A,CCBL1,AP006621.5,KLHDC1,FEM1B
10312,SNX27,EXO5,DSN1,RP13-188A5.1,CPT1A,HDGFRP3,CRKL,LINC00969
10313,MT1E,FIZ1,CEP135,TMEM39B,TNFRSF8,PCYT2,RNF213,RP5-886K2.3
10314,RP11-58E21.3,XXbac-BPG181M17.6,CNOT6L,CD14,ATF7,UQCR10,AL928742.12,CCDC25
10315,ATF3,CCDC30,CARKD,ACAP3,TOP3B,ITPR3,SFMBT1,EXOSC6
10316,RP11-262H14.3,MBNL2,ERAP2,KCTD12,ELP4,BRD9,GPRIN3,KYNU
10317,KCNQ1,LINC00662,KLF12,ARPC1A,PQLC2,KPNA6,CMC4,CPSF1
10318,RP11-326C3.12,TSN,BBIP1,RP11-792A8.4,LINC01136,ZNF606,PAXIP1-AS2,ST6GAL1
10319,TULP3,TYW3,PLEKHA1,MAP1LC3A,SMAP1,CDHR3,CTB-133G6.2,WRAP73
10320,RORC,SPSB2,C20orf194,NUP155,ZNF80,PITRM1,STX6,TMEM203
10321,ANKRD17,CNST,PTPLAD2,METTL15,ALG1,CMKLR1,NMNAT3,TMUB1
10322,LZTS1,S100A5,TTLL3,ATP11C,IL6R,SURF2,SYNJ2,C3orf17
10323,GATAD1,SEC24A,DHODH,EMC2,TPM2,DAPK3,NOM1,RCL1
10324,RCAN1,B4GALT7,ICMT,WDR33,LINC00910,CTD-2231E14.8,FN3K,ZNF580
10325,DDX49,METTL16,TOX,NSL1,TNPO2,MROH1,ENGASE,C8orf82
10326,PRKAG2-AS1,RP11-349A22.5,RP11-81H14.2,REXO2,C19orf33,MIOS,TMEM104,HCK
10327,AMMECR1L,CA5B,NAIP,ERO1L,SLC16A1,RP1-111C20.4,PIGA,SORBS3
10328,MUL1,IDE,APBB1,HMGA1,LRPAP1,RRP7A,AGTPBP1,NLRC5
10329,KRBA2,ESAM,SIGLEC9,CDC42SE2,TRIP12,ATP5S,SLC25A24,RUNX1
10330,ALG1L,MSL1,PSMD10,CLUH,SEP15,APOBR,ARVCF,CDK10
10331,RAB4B,RNASEL,GTF3C4,RBM10,FAM73A,RP11-473I1.5,PCP2,PTOV1
10332,CSGALNACT1,SDR42E2,SMIM19,RASGRP4,RARG,ACYP2,ACOT8,C2CD2L
10333,FHL3,THAP6,C8orf76,DDX42,LINC00936,ADHFE1,MCCC2,POLR2D
10334,MMP24-AS1,ATMIN,C9orf69,FZD3,FRYL,KLHDC4,NME6,PABPN1
10335,RERE,BCAS4,ZNF786,RP11-343N15.5,LRR1,FNDC3B,ZNF506,TGFBR3
10336,EIF2B3,TSSK6,MED15,PTRH2,FAM19A1,AC062017.1,SNAPC5,METTL12
10337,TYMS,UBXN2B,KIF2A,ATP6V0D1,ZMYND11,IARS,KLHL3,ADAM8
10338,FBXL5,C19orf48,FEM1B,SNRPB,IGSF6,RGS12,SEMA4D,ILVBL
10339,DOPEY2,M6PR,MDP1,RP11-126K1.6,CACTIN,PI4KA,SAC3D1,CHST11
10340,SLA2,HVCN1,GNGT2,PNN,MEGF6,PDDC1,PARP15,KLRB1
10341,XXbac-B135H6.15,PPME1,RP11-169D4.2,PHF2,STX6,TRIM58,ZNF202,SP140L
10342,AC097713.4,TGDS,TBL1X,HN1L,DUSP22,TAB3,NR1D1,COPB2
10343,ACAT1,KIAA2018,VPS36,PPP1R14A,RELL2,COX11,SGSM2,ALDH3B1
10344,LINC00493,MYD88,RP11-475O6.1,ZNF141,MIR181A2HG,RP11-15A1.3,POLE,ERO1L
10345,TLDC1,GPR171,VAMP7,SLC35F5,LMNB2,BTBD1,ACTA2,RHOF
10346,ZNF354B,C11orf95,NLK,COPZ1,ATF3,PIAS2,MADD,SLC4A1AP
10347,RP11-686O6.2,COL19A1,PARP4,KLHDC10,ZNF14,CHD8,CAPN12,ZC3H14
10348,TNFRSF17,PPP1R2,USP42,PDZD8,GPATCH11,MMADHC,WBP5,EDEM2
10349,FIZ1,HDAC2,ANKRD27,RB1CC1,RP11-686O6.2,ABCC10,STYXL1,CCDC65
10350,PLSCR1,ST3GAL6,BTG2,ENG,GCH1,ANKRD9,PKD1,OCEL1
10351,GYLTL1B,POLR1E,SLC35A2,DIP2B,SGK1,HEXIM2,PBX2,IL4R
10352,TOPORS-AS1,WDR35,MAN1A1,RAB2B,C20orf194,FPGS,ZNF691,LYRM2
10353,DNAAF2,PTPN18,OPA1,PNOC,TRIP11,CBX1,APTX,ZNF91
10354,RP3-467N11.1,POR,POLL,FUNDC1,RP11-488C13.5,IKZF1,ATAD3B,LCMT1
10355,ARHGEF2,MSI2,C6orf1,PDCD11,PPP2R3C,FIGNL1,GNAQ,LY9
10356,UQCRQ,NAPA,SLC16A7,STAP1,EML2,RP11-142C4.6,PCCB,PIK3CD
10357,CHSY1,MTMR10,RARG,BPHL,SAC3D1,TNIK,ERMAP,MECR
10358,NAGPA,TPP2,NUDT21,CLASP1,MAN1A1,RBM22,SLTM,EP400
10359,PDE6B,MBD1,SETDB1,FAM220A,BDP1,R3HDM2,ZNF836,LDB1
10360,TDRD3,PANK4,ALG8,HAUS2,UBR4,RP11-334C17.5,NFAT5,LPXN
10361,HIVEP2,CENPV,PHLDA1,UTP3,ANKEF1,ESYT2,CTD-2302E22.4,PLRG1
10362,TMEM44-AS1,ENDOV,BAZ1B,RAB11B-AS1,FLAD1,ACAA2,ICOS,MICAL1
10363,ZNF226,G6PC3,LSM14A,C19orf55,ANKRD23,PEAK1,CAMK2D,MKL1
10364,ZNF672,SUOX,RPS6KB1,B3GALTL,C5AR1,ZNF337,C2orf43,GCFC2
10365,KDM1A,PAFAH1B3,NARS,CD7,ERCC6,ZNF561,MXI1,RHOT1
10366,SYNE3,ITGB1,RP11-473M20.9,CD151,BIK,GBP1,THAP4,COPB1
10367,ANAPC16,BIN1,SKAP1,ALDH2,FSTL1,SAE1,TMEM222,ELAC1
10368,NAF1,CLCN5,IL27RA,IL12RB1,BOD1L1,RIT1,PLEKHO2,LILRA2
10369,NCAPH2,RNF217,DBP,RP3-475N16.1,SPPL3,PAFAH2,PNPT1,XCL1
10370,HECTD1,PLTP,CXorf40A,SIK1,XPO1,AP1G1,DDX1,DRG1
10371,MOCS3,TMEM189,SLC38A1,SNTA1,RP5-943J3.2,DCTD,NEXN,RRP1
10372,CDK20,CXXC5,FAM213B,LDOC1,FAM129A,MKL1,ZSCAN16,SCOC
10373,ADAL,CTTNBP2NL,MAPKAPK3,PEX2,POLR3E,UBL7,LTBP3,OSGEPL1
10374,SUSD1,FBXO18,AHCYL1,UBAC2,WDR34,TUBGCP3,METTL17,PHAX
10375,KIAA1211L,PROCR,FAM45A,KIF22,RPP38,IGJ,BNIP1,GRIPAP1
10376,GADD45A,CD36,TCTA,EFCAB4B,AC074138.3,ZNF44,WWOX,RSAD2
10377,DPAGT1,ODF2,PIGO,ZNF254,C6orf25,MBD6,MBOAT1,SRPRB
10378,MMP17,ELL2,GHRL,FEZ2,PPP1R3B,TMEM131,PIK3AP1,ERN1
10379,CEP78,HENMT1,ZC3H3,CD40,NUDCD1,LSM2,BBS1,SIGLEC1
10380,CHD4,COPS7B,DYRK2,MT-ND6,TIMELESS,ODF2L,KPNA5,TMX4
10381,ZNF710,RP11-473M20.9,MCTS1,ACCS,DYNLL2,KDM2B,IREB2,USP4
10382,TMEM261,DTWD2,IL18RAP,KIF13B,CPNE3,BTN3A2,COIL,PDRG1
10383,RP1-111C20.4,SUMF2,ADCK3,SLC25A35,ZNF354C,RNF5,ATXN7L3,BATF
10384,TSHZ2,SRGAP1,AC078883.3,KIF3A,C5orf28,SLC38A7,ALDH1A1,INO80
10385,TAF2,MZB1,UBAP2,LIM2,COX8A,HIPK3,KRT7,CWC22
10386,CAMK1D,LANCL2,ATP5L2,CSF3R,ARVCF,ZNF721,TUBE1,MTERFD1
10387,TSR3,RAPGEF6,CAPN15,AGPAT5,TBC1D2B,DUS3L,ZNF101,SF3A2
10388,SOCS5,NRBF2,NPLOC4,RP11-401F2.3,DUSP4,C19orf59,RP11-83A24.2,ATP6V1C1
10389,ALDH7A1,PPP6C,SLAMF1,VCL,NBPF14,SP100,RP11-219B4.7,RP11-544A12.8
10390,FOXRED1,COQ3,CSTF1,MLLT10,AC137932.1,NGRN,TTC38,SH2D1B
10391,RANBP9,ATP5SL,APOL6,TMIGD2,LRRC40,HDHD3,THUMPD1,ACAT2
10392,ECE2,NBEAL2,NPHP3,SIGMAR1,TSPAN4,CYB5R1,MED18,RBM27
10393,RP11-35G9.3,RETSAT,TRIM52-AS1,AC009120.10,CCL28,NFKB2,MFSD7,MALSU1
10394,SLC44A1,CDC23,HNRNPL,GFOD1,RFX1,AQP9,NSG1,ATXN2L
10395,AGAP4,TM7SF3,DPF2,C20orf196,RP11-430B1.2,RC3H1,RSAD1,DYNC1LI2
10396,PRPF40B,CD1C,SCLY,RP11-535A5.1,CNOT11,DNAJB4,DDX58,ZNF296
10397,DAXX,NPRL3,GNL1,PHF23,NEDD1,GARS,SLC35D2,ELK1
10398,SAV1,ZNF710,S100PBP,SAP30,PRMT5,C12orf43,PATL2,PHF19
10399,CREB1,CENPQ,TBC1D23,ADNP,INTS4,CRLF3,ZNF500,ABHD13
10400,TMEM219,THOC5,MILR1,RP11-554J4.1,MAPK14,NDRG2,MAU2,ALAD
10401,KCNA3,ZNF74,GRK6,TOLLIP-AS1,MSRA,LRRC29,TESC,DDB1
10402,TSHZ1,RNF34,PTPN9,WDR11,JMY,JMJD6,RAP2C,AIFM1
10403,PDXK,FOXN3,FAHD2A,CDIP1,TXNDC11,ARID4A,CCDC125,VNN2
10404,TSTA3,VPS4A,SLCO3A1,ABL1,PPP1R14A,GGT1,SNTB2,RIPK1
10405,BRAF,ASPHD2,ICAM1,TSR2,TRMT11,ZNF808,RPTOR,RINL
10406,NUP35,NGDN,SEMA4A,PHLDA2,RGL2,RP11-727F15.9,RP11-890B15.3,ZNF846
10407,DNPH1,SOCS2,OCEL1,AC132872.2,CD300LF,SLAMF1,SUN1,MRPL46
10408,VSIG1,GPALPP1,APLP2,GSTM4,RP11-160O5.1,CUL1,PPME1,DHX34
