,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
11804,DHX35,PHF6,TMEM8A,SLC4A7,PSMD13,HERC3,VASP,ALKBH3
11805,FAM175A,PDE5A,PDDC1,FDXACB1,MFSD10,RAB13,MOSPD1,GTF2H1
11806,PTDSS1,TTLL1,DPM2,TAB2,CCNT2,TSPAN4,RP11-690G19.3,SDF2
11807,SPPL2A,ASB8,TSN,ZNF568,RALGAPA2,TMEM2,NCKAP1L,ZNRD1
11808,MICAL2,YAF2,ORC4,TMEM177,TIAM2,PHACTR4,PGS1,RC3H2
11809,GMPS,WNT5B,RSL24D1,PPP4R1,BIRC2,MRPS25,AKAP10,PILRB
11810,EIF3L,RP11-162A12.2,ELMO1,ZNF664,NDUFV1,MED14-AS1,PIGF,RP1-313I6.12
11811,ZNF33A,MKNK1,AHCY,DDX59,DOCK10,RSF1,OXCT1,ALG6
11812,TNFAIP8,MIF,CTNNAL1,BET1,FAM46C,WBP4,ACD,MRGBP
11813,DENND1C,C1orf21,UGDH,FXN,C8orf59,ECHDC1,TTF2,MEAF6
11814,ADC,GSK3A,TTC32,ATP6V0E2,EMC8,BANP,DENND5A,EAPP
11815,YRDC,PARS2,RP11-664D1.1,SLIRP,MFNG,FANCM,SLC38A5,BBX
11816,PLEKHG1,C19orf83,ZBTB11,BACH2,SLC39A13,SYNJ2BP,C20orf196,FAM96A
11817,BRF2,LYRM1,FBXL17,TSPAN14,TFB2M,FAM126B,TMEM128,C10orf32
11818,CD83,SLC43A2,LRIF1,PHF1,MTFR1L,MPG,TMEM9B,DDX21
11819,RALGAPB,PBDC1,POLR2E,PARP8,SPOP,KLF13,TRAFD1,NSFL1C
11820,VAMP5,MCM5,SSBP3,NINJ2,HIST1H2BN,PPAPDC1B,ELP2,SH2D3A
11821,GPR137,FDFT1,LRRC61,WNT7A,ADD1,RNF216,ELP5,OFD1
11822,PRKAA1,PARP8,LARP7,NACA2,ST3GAL2,ZNF32,C16orf80,CEP164
11823,CTD-2562J15.6,EP400,RFX1,MAP4K2,LBR,CTC-459F4.3,C2orf88,EPS15
11824,CEP41,KLHL12,HMGN2,TAF12,BCL2L12,ASL,PITPNA,HOTAIRM1
11825,TRAPPC2P1,HBEGF,DDX19A,JAK3,MIS18A,SPCS2,SH2D3A,ZNF148
11826,MRPL4,GSPT1,LIG3,MGEA5,APOBEC3A,SULT1B1,CSTF1,ACLY
11827,CDK5RAP2,MRGBP,SERPINF2,GALK1,MBTPS1,C4orf32,HHEX,PRMT10
11828,SPARC,JUP,RPGR,SOCS1,AP1G2,SCFD2,RGS18,PRPF6
11829,ELL,CHKB-AS1,TBRG1,RP11-418J17.1,GCH1,CTNNB1,SETDB1,IFT43
11830,FXR2,COIL,TXNDC17,EIF3D,REPIN1,CPT2,BTBD1,KDSR
11831,POLR3F,USP33,AGPAT3,C21orf59,FAM53B,ATP1A1,SYNJ2BP,SPON2
11832,TRIM24,ABCF1,ZDHHC3,FBXO22,HSPA4,TBXA2R,KDM4C,ALDH2
11833,AL928768.3,NIFK-AS1,LINS,DCTN2,MXI1,ABCC1,RRS1,SRSF4
11834,TPRG1L,NCOA7,RASSF5,C3orf62,PAN3,RNF145,STK10,UBALD1
11835,PLCG2,GLS,SCFD2,LINC00863,ZNF354A,PARP14,TNFRSF8,XRCC1
11836,DTNBP1,IPO8,ZNF83,FAM76A,NUTM2A-AS1,LINC00116,AC093323.3,HAGH
11837,FUBP1,TEP1,RP11-293M10.5,DEXI,CCR7,PPP1CB,YEATS4,NCR3
11838,GTF2H2,DPM1,CTSD,CEP135,RP11-367G6.3,LDOC1L,MIR4435-1HG,UBE2R2
11839,SF3B3,PABPN1,RABL3,CDC42SE2,NCOA3,SRA1,MNAT1,LPCAT3
11840,HCG18,ANAPC11,ITPR3,CAMK4,SLC25A20,ELMO1,CTPS1,PTGER2
11841,ALAS1,SEC24D,XRCC6,RIF1,GNS,EDEM3,SLC39A10,GPR171
11842,TAX1BP1,MTRF1,RABEPK,SMARCA2,LDHA,SERPINE2,ZNF277,PPM1M
11843,HRAS,ZMPSTE24,CBX7,RASGEF1B,C12orf65,ZBTB43,ESYT1,MKNK2
11844,CARS2,ATPIF1,NUCB1,ZNF383,RPL39L,BBS4,WDR82,VPS37A
11845,PHACTR1,MUTYH,GRAMD1C,TMEM167B,RPL13,ABHD5,ZNF3,PEX3
11846,MEF2A,ERMAP,POLR3H,HSD17B8,CD9,ASXL1,CHCHD7,NKTR
11847,AKR1B1,TIFAB,NF1,DNAJC5,C8orf82,VIPR1,OTUD1,C19orf48
11848,RP11-539L10.3,AMD1,MPDU1,QRSL1,PDRG1,FAM3B,MBD2,MLLT10
11849,RABEP1,CXCL16,MRPL55,DDX52,GABPB2,TKT,AC113189.5,C21orf91
11850,MLF1,KLF12,RRS1,COPA,TOMM5,KLHL6,TSPAN14,DPH6
11851,TRAPPC8,TIMM9,TIAM1,LRPPRC,TMF1,ARG2,PRPF8,ZC3H11A
11852,RBM12,ABHD8,USP9X,MAP3K1,ECHDC1,TMEM87B,MTMR14,CTNNBIP1
11853,MORC3,MAPK3,AGPAT1,EFCAB14,RNU12,NONO,POLK,RRP7A
11854,FAR2,MCFD2,DCAF5,WDR45B,ACSL4,PPIL1,GATA3,PANK2
11855,APOBEC3C,CTNNBIP1,RNF13,ASCL2,THAP7,LINC00969,YTHDF2,C7orf26
11856,NELFCD,LINC00649,CTD-2630F21.1,RHOF,MRPL4,PFN1,PTPRA,EIF3B
11857,TSN,OGFRL1,MAP2K4,RASA2,YAF2,PGBD2,ZNF274,RAB1A
11858,IL8,SH3D19,TACC1,GUF1,SIDT1,SPOCK2,GMPPA,FDFT1
11859,HIST1H2AH,PAPOLG,CSNK1A1,RP11-867G23.8,MRFAP1L1,FAM213B,GNPNAT1,PAK1IP1
11860,SMCR5,PLD4,NAP1L4,LINC00339,PRPF19,RUVBL1,C12orf65,GPN2
11861,GNG11,MIB2,SAT2,TNRC6B,PPRC1,STOM,SH2B3,FAM134C
11862,RP11-513M16.8,N4BP2L1,AP3M1,SNRNP25,DCTD,IWS1,TRAPPC2,PHLDA1
11863,NUCB2,SCAPER,APBA2,GGCX,PDXDC1,ETS1,ATAD1,ABHD14A
11864,NECAB3,MMD,MARCH5,CXorf65,GALNT3,YTHDF3-AS1,LBR,EIF5AL1
11865,ZBTB2,TRIM38,ZNF224,CD55,TSN,CREB3L2,CCDC82,NBEAL1
11866,ZNF567,ADAM10,PRR12,TPST2,RSAD2,LCLAT1,MCM2,UBE2V2
11867,ATP6V1C1,ZDHHC5,HSD17B7,ZNF16,DNPH1,SUGP1,TMEM176A,PCBD1
11868,TANGO2,RALGAPA1,APH1B,PTGER2,LMF2,XRCC1,YIPF4,ATG16L2
11869,WDR13,UBN1,ADPRM,ITFG2,HSF1,CCNY,MRPL37,LY86
11870,IMPA1,HDAC9,TNRC6C,SAYSD1,MRPS25,TUBA8,CCPG1,HDGFRP2
11871,ECT2,CD3G,ULK3,NT5E,CSAD,INO80E,BRF2,RP11-796G6.2
11872,CCDC163P,VMA21,PARP8,TMEM11,SLC25A26,TXNL4A,ICAM3,GDE1
11873,CTD-2341M24.1,NUDT6,HIST1H2BN,TRIB2,TM9SF4,CTDSPL2,PPA2,PCBP1-AS1
11874,HMBOX1,CYBB,ZNF414,C14orf119,RAB3D,PPM1L,ARHGAP24,MED7
11875,RP11-285F7.2,IGFLR1,RBMXL1,LMAN2,BLNK,MEF2C,SGPP1,NEK9
11876,IER3IP1-1,ATAD3A,TMEM131,FAM213B,GAS7,S1PR4,KIAA1551,TFRC
11877,ISYNA1,HM13,ATG12,SMARCD3,SMG1,DCUN1D1,CABIN1,PPIL1
11878,YIPF2,CACNA2D4,LINC00861,GYPC,RWDD2A,PJA2,CLEC7A,MRPS31
11879,LINC00662,U2AF2,ECHS1,NCF4,TMEM194A,ENO2,PPP1R35,AHSA1
11880,PLBD1,POLR3C,TCEA3,FAIM,NKIRAS1,SLC25A33,RELB,USP48
11881,IRF1,BCOR,CORO1C,USP42,PDCD7,RAB27A,MOB2,THAP4
11882,FBXO4,ITPR1,ATXN2L,TCTA,TSEN54,KDM7A,ANXA11,RAB8B
11883,MC1R,METAP1D,PSMD12,DMTN,TXLNA,GCA,PPP1R8,SLC4A2
11884,TARSL2,SNX22,MIA3,SNRPB2,XRCC6BP1,LINC00324,IRAK1,CABIN1
11885,C16orf87,ARFIP1,PIDD,ZNF652,C20orf196,VCAN,SLFN5,FBXL15
11886,RNF168,MRPL12,MID1IP1,MTX2,CCBL2,PEX19,SDHA,SRPK1
11887,EXOC6,NFYB,RAB2A,PREX1,CYTH2,AKAP8L,RDH5,LFNG
11888,DPP3,RP3-402G11.26,ACADVL,LRP10,ZW10,MACF1,HNRNPH1,SLC38A1
11889,OSGEPL1,RWDD4,KDM4A,AIM1L,ZNF260,PEX7,PRKX,FAM211A
11890,CUTC,TMEM19,HAPLN3,VPREB3,SLC9A8,EXTL3,YBEY,APTX
11891,SARS,KCMF1,CD1D,PPM1N,RP4-539M6.22,RP11-108M9.4,MRPL50,IRF9
11892,ACTR5,CRTC2,RAB21,TGFBR1,RECQL,POLD2,KCTD5,NONO
11893,ZBTB17,CBX6,ZNF800,FAM127A,JAKMIP1,WDTC1,LRPAP1,PTDSS1
11894,RP11-403A21.2,MEPCE,CLTB,G3BP2,CDC123,SAMD9L,RP11-139H15.1,EXOC6
11895,ARHGDIB,BET1,NUP98,MTCH1,TMEM109,NHLRC3,NAA16,LILRA3
11896,C2orf49,SDHA,TOMM70A,TMEM204,CKLF,SH2D3A,XCL2,DNTTIP2
11897,SUMF1,BTN3A1,ITGAE,WDR5,DNAJC2,PRKCH,CRIP2,ASCC2
11898,FAM98C,TMEM214,SP3,ERCC6L2,PXMP2,LRRC58,FAF1,DNAJC21
11899,FAM26F,STXBP3,OS9,PPP6C,RMND5B,NAT9,TMED5,HIBADH
11900,RP11-79P5.9,TMEM63B,TIMM17B,PAFAH1B3,ATF7IP,CDKN2D,EGR1,NUP50
11901,HDDC3,PIK3CA,MAP1LC3B2,C12orf73,ABHD14B,PCNA,POLR3H,NDUFV3
11902,TTC32,HADHB,SAFB,LZIC,RAB14,ISG20,SLC25A17,TRMT2A
11903,CACNA2D2,MPRIP,VPS26B,HDAC5,DAPP1,DCAF11,TXNDC15,RP1-3J17.3
11904,DZIP3,TMEM216,MOB3A,RBMX,LSS,YTHDC1,RP6-109B7.3,HMGXB4
11905,CPSF4,GTPBP3,PLXNB2,RNF8,LETMD1,NQO2,SMC2,STT3A
11906,CCPG1,CMIP,CAPZA2,SHKBP1,C4orf27,PHF14,HIST1H2BK,NUDT9
11907,DUSP28,UPF3B,FDFT1,LYRM4,JRKL,SESN3,IFRD2,PSMD12
11908,PLEKHO1,LY6G5C,NDRG3,RNF139-AS1,HSPBAP1,SMCHD1,RBFA,ACSF3
11909,RANBP3,MOV10,TOP2B,MRPL10,SLC11A1,PRAF2,SPG20,GINM1
11910,CCDC134,NDUFS6,SUCLA2,GRIPAP1,DDX27,LMNB2,APMAP,KLF13
11911,NDUFV1,UPK3A,MRPS6,ING1,NUP37,FCRL1,BCL2L13,JAKMIP1
11912,P2RX5,NOP58,TRMT6,ZNF609,C12orf79,FNBP1,DOCK11,MSRB2
11913,VPS33A,LINC00984,PRSS57,MICU2,CKAP5,POLR3A,MTO1,BAK1
11914,WBSCR22,GTF2F2,PITPNA-AS1,TADA2A,FHL3,EPS15L1,XRRA1,ERP44
11915,PUS1,ATP5S,ARHGAP30,BRCC3,PVRIG,C20orf27,USP48,CPOX
11916,TMEM259,UBAP2L,GNG11,ATXN7L1,ARL17B,GOSR1,ATP13A1,ZNF226
11917,TRAP1,NFKBID,RNPEP,PIM3,ARL16,RFC4,CHD1,ADD1
11918,DUS3L,OTUD5,ICAM2,ATG9B,SGK223,ZNF224,YDJC,CKB
11919,DNAJC21,PLA2G7,NARS2,CLK1,ZNF549,ATF3,GBP5,CD33
11920,ING3,RNF4,TNFAIP3,EPG5,XPO4,BMS1,GTF2F1,TNFRSF18
11921,JHDM1D-AS1,KDM5B,TCTEX1D2,CAMK1D,LRP2BP,CD247,LSM1,SH3BP5
11922,PHB,DNAJC5,TMEM248,RAB5A,ILF3,KNSTRN,SLC27A5,TUBG2
11923,NPRL3,METTL21A,CDADC1,PI16,NUDT16,LRR1,CD1D,DNAJC9
11924,MPZL1,NDUFAF1,SIRPG,SLC25A19,RRAGB,TNFRSF8,COL4A3BP,EPM2AIP1
11925,BCL2L11,PCID2,CD320,HECTD1,CDKN1A,PWWP2A,SLC7A6,HIF1A
11926,DNAJC7,BRD7,YTHDF2,SNX9,POT1,ICT1,C1orf174,HMBS
11927,FCGR3A,C12orf73,FBXO10,COPS7A,RAB33B,AC006129.2,NUDT1,QTRT1
11928,BCL9,ERICH1,VAC14,C1GALT1,MAP9,CMPK1,INPP4A,CIAO1
11929,GMFB,ARID5B,TPPP3,DGCR2,TMEM161B,DHDDS,C1orf228,DNAJB11
11930,PA2G4,TOP2B,USP47,RP11-166P13.3,CASP4,EIF2A,SLFN11,CHMP7
11931,DAK,LYPD2,ITGB7,UQCC2,C11orf73,HOOK3,MAL,CD8A
11932,WDR43,ENO3,NR3C1,ELOF1,RASGRF2,FRMD3,MTHFR,RAB7L1
11933,ZMYND11,PTX3,RP1-241P17.4,ENY2,CDCA7L,LCN2,MALSU1,KIF22
11934,TTI2,LMBRD1,CAPN10,CIRH1A,NBAS,ERGIC1,RPRD1A,PCYT1A
11935,PTPN22,SLC27A4,CREM,ASCC3,DPP7,RASSF4,POLR2I,COASY
11936,FBXL15,NUP85,SLC7A6OS,SDHD,CTR9,HYAL2,C1QC,CKS2
11937,WBP2,ADAM17,UBAP1,KLRC2,PPP2R5E,MAGT1,PDE7A,EXOC7
11938,HPGD,AC137932.6,LENG8,TMEM173,TRIM52-AS1,MRPS22,IKBKE,GNPAT
11939,ANAPC16,NXF1,CMTM5,IAH1,SPG11,HLA-DRB5,HCAR3,ATG4A
11940,SBF1,APRT,JKAMP,APEX2,ZZEF1,PLBD2,LSG1,PAXIP1-AS1
11941,ZCRB1,MAN2B2,TAB2,C19orf70,EIF4H,MPST,SERTAD3,CARS2
11942,TGDS,CCNT2,DIABLO,C1orf21,DDX49,H1F0,TMEM18,WAS
11943,LINC00324,SAP30BP,PCID2,RNF38,ICOS,SPCS1,MARCKS,GAPT
11944,DR1,URI1,MYO5A,SEMA4A,DYNC1LI1,RASGRF2,MANBA,ATXN7L1
11945,MLKL,KPNA2,FAM120A,CLASP2,UIMC1,RP11-489E7.4,EML4,NDUFAF1
11946,DMXL2,KB-431C1.4,CHD3,AC027763.2,NELL2,ELF1,HTRA2,CENPK
11947,BRE,CSRP1,LPIN1,SLC25A22,SUPT7L,BZW1,FAM219B,CTBS
11948,CBFB,USP16,CXorf38,RAB24,COASY,PITPNC1,IMPDH1,MRPL36
11949,HMGA1,L3MBTL2,ZC3H7A,ZNF574,ATXN1L,SNX10,SAMD3,CALCOCO1
11950,RNGTT,C4orf27,RAP1GAP2,DPP7,FBXO32,STYXL1,DCAF13,TRIM38
11951,MRPS33,SPHK1,TADA3,NMI,YWHAE,ATRN,TECR,ABI3
11952,FCER2,RFX5,USF2,SLC10A3,YIPF5,KLHL36,OBFC1,RBL2
11953,ZBTB14,RAVER1,HSD17B10,TBC1D23,MAN1B1,IQCB1,CHD3,C14orf1
11954,RAD23A,ZNF324,TMEM8B,XPC,RNF168,CHID1,ST6GALNAC2,ASH2L
11955,NFKBIE,TFG,SCP2,DAAM1,CMC2,C2,SFI1,KDM5A
11956,ZNF548,POLRMT,TRAPPC9,NCALD,NDUFAF1,C10orf88,DHX36,CYC1
11957,FTCDNL1,RP11-452L6.5,C10orf128,LILRB2,TREX1,KCNAB2,CPNE1,ARID5A
11958,ACYP2,PTPN18,OSBPL8,ZNF281,EMC6,NUP98,PDZD11,POLR2I
11959,MVB12A,TNIP2,TCEAL8,TRAF3IP2,TMEM184B,RDH11,DGKA,MRPL1
11960,GPN2,PLD1,TATDN3,RELB,QDPR,RNF167,ARHGEF3,C22orf39
11961,TSR3,GTF2H5,SEPT5,MXD4,GCA,PSMD12,DNAJB6,MRPS14
11962,RLF,DENR,MEA1,CTD-2228K2.5,P2RX5,AC026806.2,FADS2,BIRC6
11963,OR2A1-AS1,TRPC4AP,PCP2,ZFYVE28,GDE1,DYNC1H1,CCNB2,SNRNP200
11964,NLK,ZNF19,PGAM1,SLC6A6,LINC00402,ZNF514,XPO6,UTP11L
11965,LINC01004,SFXN4,AZIN1,PPWD1,BCAS4,C9orf69,HSPA4,COX20
11966,CINP,TLDC2,BTN2A1,SPEN,RIC3,PMVK,YIPF3,BCL2L12
11967,SH3BP1,VSIG8,DDX55,SUCLG2,AC007246.3,GSTT1,SEPT1,RAB28
11968,ZC4H2,ZNF253,GPR171,TRIM21,CEPT1,CYB5D2,STX10,MAN2A1
11969,HBP1,DPM2,MIF4GD,SLFN13,TSPAN31,NRG1,SLAMF1,VPS4B
11970,CTA-384D8.35,NME1-NME2,TGFB1,ANKRD28,PACSIN2,TMEM106A,ACTR6,CACUL1
11971,PIP4K2B,RP11-400F19.6,SSR4,PDLIM7,NINJ2,ITM2A,ZCCHC7,CSNK1D
11972,COX5A,ABRACL,FRMD4B,LEPROT,LLGL1,KLF9,EIF2AK4,C5orf24
11973,MTHFR,UBA3,MIIP,AC016831.7,RNMT,IFI30,LYPD2,TMX2
11974,NSUN5,GOLM1,PIGF,ST3GAL2,ARSA,FKBP1C,POM121C,PPID
11975,DNPH1,AURKB,CBFA2T3,BID,CLASRP,R3HDM1,NHLRC3,CNDP2
11976,MAP2K1,LAIR1,USP4,NFATC2,UNG,GPR137B,FAM207A,ATP6V1H
11977,GP1BA,RP11-468E2.4,FAM50A,ARV1,CDKN2AIP,PRKAG2-AS1,SMARCD3,MAN1B1
11978,DENND3,LINC00685,ZNF259,AK5,NECAP1,PDCD7,OGG1,TRIM8
11979,FLNB,EMR2,KLC2,HERC5,STX18,TBCD,PRKRA,TMEM230
11980,TIRAP,HELZ2,C17orf72,RP11-400F19.6,NACC2,RPN2,RP5-887A10.1,STRN
11981,ATPAF2,ARHGEF10L,MBD6,RAF1,CAMKK2,ATP6V1F,TIMM22,VPS36
11982,CCDC61,PDE4C,RNF213,DGUOK,AC010883.5,CATSPER1,PPP1R11,PLK3
11983,ERCC8,ARL2BP,SLC30A1,PIK3IP1,ZNF429,MLEC,TREML1,NFKBIZ
11984,INIP,DHX37,WDR5,DNAJB11,PBX2,CLYBL,YARS,CALM2
11985,GCH1,CD151,TTC17,CTSF,LYPLA1,DHRS1,MDM4,ANKH
11986,UGP2,PEF1,PAN2,KNOP1,TMEM242,MIA3,RP11-421L21.3,FLAD1
11987,SLC25A44,ASTE1,KIN,PACSIN2,AGPAT4,ZBED5-AS1,ZNF76,PSTPIP1
11988,VPS52,LENG1,MMGT1,THAP1,C5orf55,EBAG9,GPN3,NT5DC1
11989,C6orf62,TRMT11,CRCP,SETD5-AS1,DDHD2,IL15,LYRM4,IFT52
11990,IL12A,ARNTL,DCAF12,LSM4,ZDHHC5,C1orf27,HERPUD2,MIIP
11991,LIMD2,NOMO1,ING5,DPH7,PPTC7,MARCH5,SEPT9,ZNF581
11992,TSC22D3,KCNQ1OT1,DRG2,QRICH1,CDC42SE2,DUSP22,PTP4A3,TRANK1
11993,SIGIRR,DDX17,RAB11A,HSPH1,NFAT5,ZNF160,DUSP6,DENR
11994,RUVBL1,USP6NL,STX18,ROMO1,FKTN,SLC25A40,ITFG1,ATP6AP1
11995,MTPAP,RNF169,LTB4R,TXLNG,SRRT,SFR1,NIFK-AS1,RP11-611E13.2
11996,FBXO44,UTRN,SMPD1,SRSF4,TESPA1,ZNF350,TSR3,POLR1D
11997,GSR,IFIT1,GBP2,ESF1,USP34,FBXL5,CSF2RB,COMMD6
11998,AIFM1,LEPRE1,MLLT10,PRR12,ZCCHC17,SMAGP,NPDC1,ZBED5
11999,CNIH3,SNAPC5,LYSMD4,LPGAT1,ASB2,PNOC,METTL18,CTD-3184A7.4
12000,ILF2,SUDS3,ZNF226,CWF19L2,CCDC94,STK11,MLXIP,CHCHD7
12001,TP53RK,NFKBIB,DNAJB2,ARSK,DMAP1,UBE2E1,AIFM1,CD72
12002,CCNF,SEPHS2,LIMS1,OXA1L,SERINC2,FAM172A,RBP7,NHLRC3
12003,KMT2E-AS1,FLT3,PLAUR,MZT1,PRKAB2,VPS33A,LILRA3,CCS
12004,SMAP2,GNL2,YLPM1,PRMT10,SAP30BP,RAD54L2,IL17RA,SSR3
12005,SUPT16H,IMP3,RNF168,TNKS2,ZADH2,GLYR1,PGM1,ASCL2
12006,NXF1,RP1-39G22.7,EPS8L2,OXLD1,SLC40A1,SCPEP1,PPP2R2A,FBXO21
12007,TMEM99,SURF4,TADA1,SLC9A3R1,SLC22A5,CEBPG,MMGT1,E2F4
12008,BLOC1S5,ACTN1,R3HCC1,TTF1,PILRB,RP11-81H14.2,HVCN1,RNF138
12009,ARPC4,GATAD1,GATAD2B,C9orf78,AC006369.2,PML,KCNC3,DUSP23
12010,SASH3,AKT1S1,CLN3-1,APBB3,BCL7B,SUPV3L1,SEC14L1,RBM10
12011,MRPL41,PER1,SPEF2,EIF3L,HGS,ZC3H15,SUCLG1,AC010642.1
12012,ZNF83,SNHG9,C19orf12,PI4KB,ASGR2,BLOC1S6,C11orf58,ATF1
12013,DDX21,UBA52,MSN,RRP9,TYW5,PIK3R1,EIF4E2,INIP
12014,TSEN34,UNG,TERF1,RP11-1143G9.4,PUS3,LONP2,CDKN2A,RALA
12015,SLC22A18,GPBP1L1,DAD1,SAP30BP,CBX5,FLOT2,PTTG1IP,BEX4
12016,SLC25A13,FAM216A,AC092580.4,NCAM1,PRMT7,PATL1,GNG2,ATP5EP2
12017,RNASEK,CD180,UBE2L3,RFK,CTD-3214H19.4,WDR70,SH2D1A,NT5C2
12018,CSNK2A1,RP11-545E17.3,ETFB,PRKCQ-AS1,MIR4519,RIPK2,PRCC,CLSTN1
12019,CPNE1,FAM65A,FRMD8,USP25,CCDC84,FAM204A,ZNF830,TRIP13
12020,WDSUB1,D2HGDH,PRKAR1A,BCAS4,LILRB4,FAM102A,ABT1,CENPF
12021,TPO,CPSF6,GGA1,CASP6,MAP7D3,C14orf119,LYRM2,PHIP
12022,EID3,WDR74,CHD8,CSNK1D,CCDC126,LIN52,DIMT1,SLC20A1
12023,ATP6V1G1,LINS,YBEY,SUPT7L,TLE1,PSMC3,C15orf39,SNRPD1
12024,STX17,ABLIM1,ACAP1,SLC11A2,ELMO1,TARS,TCEB2,TTC19
12025,C2orf47,HNRNPUL2,UBE2K,FAM104B,BDH1,IL18BP,C1orf131,ATG2A
12026,SLC41A3,PFN1,NDUFB6,MBOAT7,C12orf44,CDKN2A,AC016629.8,AKIP1
12027,CCDC78,CTAGE5,PRKCSH,EDEM3,MTMR3,ZNF609,ZFAND2A,XYLT1
12028,RNASEH1,H3F3A,CHCHD5,KATNA1,DDX43,ERAP2,CPNE5,GRHPR
12029,SEC24A,RABL6,HNRNPAB,RAB37,TMEM14C,MED18,ZNF652,SIPA1
12030,CD1E,MMADHC,C1orf21,BFAR,SAMM50,ACO2,TBC1D10A,CBWD1
12031,DHRS3,ENTPD3-AS1,HSDL2,PPM1K,RPS13,E2F2,PKIB,FAM120A
12032,PAK1IP1,TMBIM1,FAM105B,XKR8,CLK4,PHF20L1,CTSL,TOP1
12033,RALGPS2,TRIM66,UNC5CL,MRPL50,P4HB,STAT6,SLC25A39,CRLF3
12034,ARSG,PPP1R16B,SEPHS2,BEX5,HDAC10,TGIF1,PSMA6,EMG1
12035,RNASEH2C,GBP2,MORC2,GTSF1,FGD2,EFCAB2,MRPL16,FBXW2
12036,LETM1,PITPNB,C12orf45,TPM1,WDR11,PLXNC1,EVI2A,RPS16
12037,BCKDK,GCH1,FOPNL,FAM195A,C4orf48,HIRA,PTGIR,LILRB4
12038,ESRRA,RPS17L,BEX4,CTD-2162K18.5,TMEM181,LIMD1,CD72,CAV1
12039,SCRN2,RP11-598F7.3,SHKBP1,DTX3L,LINC00998,CHD6,BTK,TMF1
12040,UBBP4,GNG10,SRPR,NIFK-AS1,TMEM256,LAMTOR3,RBM22,PSMD10
12041,RP11-386G11.10,NUP160,C12orf65,GOLGB1,AP001258.4,IGF2BP2,CLN6,C1QB
12042,SIRT6,STAMBP,POT1,GUSB,PITRM1,CCDC28A,PDE4B,SIKE1
12043,RAB35,UBR5,FABP5,IFFO1,TMEM55B,CASC3,WAC,UBR4
12044,ASH2L,CEP152,BCL7C,TMEM203,UBXN2A,SRSF1,HMG20B,PRPF38A
12045,MED21,FAM96B,PTRHD1,WDR7,HTRA2,ATL3,MAFK,CYB5B
12046,NOP10,SF3B3,TAX1BP3,KLF10,NTHL1,WDFY2,SIGLEC10,ATM
12047,ALMS1,MTRF1L,ZSCAN5A,MRPS22,ABCD4,FEZ2,BRI3BP,TSPYL2
12048,DCTN1,FAM210B,BSDC1,BCAT2,ABCA7,VIM-AS1,IL12RB1,IL4R
12049,ELMSAN1,YIF1A,INTS8,FUNDC2,MPG,ZFYVE20,LRRC47,ORMDL1
12050,DYNLT1,CDC42SE1,DEDD2,PRADC1,RP11-252A24.7,SETD5,SNORD3D,MRPS10
12051,MTF2,STYX,C7orf50,ARL6IP1,GMPR,MTO1,SPPL2A,AURKB
12052,QKI,PRDM4,DCAF11,DDX39B,SLMAP,S100A12,ZNF131,VAMP3
12053,WASL,IER3IP1-1,SLC35E1,FBXO31,CNOT1,GOLGA2,SLMO2,PINK1
12054,VPS51,TMIE,NRIP1,RABGGTB,NDUFV2,CCDC97,BCL7B,SAMD3
12055,CXorf40A,CD84,CD8B,ZNF655,SNRNP70,HMCES,INO80E,ANAPC7
12056,ABCF1,C12orf39,ESYT2,C3orf17,ITPKB,KCTD20,C1D,IDH3B
12057,IMMT,ZSCAN29,GOLGA7,ACOT8,CCDC167,NIT2,WHSC1,WNK1
12058,FUT8,CERS6,RRP1B,BCL2A1,PCF11,C15orf57,MKRN1,FAM58A
12059,GALNT11,CCM2,LRRC25,CFDP1,ARMC1,TUBGCP2,XBP1,MCM5
12060,RTN4IP1,NRBP1,RAB11FIP1,AC132872.2,ATP6V1C1,FAM98A,ABHD3,MED11
12061,ABHD13,IKZF5,FAM65A,MARCH2,ACSF3,SOS2,GTF2E2,ELOVL5
12062,UVRAG,SMURF1,MAP3K7,CD2AP,FAM20B,POGK,CLU,KDM4C
12063,CCHCR1,TYW1,CDC42SE2,KIR2DL3,CLNS1A,CTSH,UBQLN2,METTL21A
12064,CKS2,TET3,KPNA3,VPS16,MPLKIP,PSMC2,TRAPPC6B,HTRA2
12065,POU2F2,ZNF467,GTF2F2,NENF,GNG7,CHD9,EIF4EBP2,MED18
12066,TFDP2,TOMM40L,EXOSC1,SLC25A45,C19orf12,TXNDC16,NR4A1,C1RL
12067,ZADH2,SAMD4A,UPF1,STYX,MYO9B,AC009403.2,MED16,OARD1
12068,MYL9,SUSD3,PADI4,TRRAP,RP11-383H13.1,APOO,RP3-395M20.12,CS
12069,PPT2-EGFL8,CLIC4,SEC63,TTTY15,ARHGAP15,FOLR3,ELP6,TBRG1
12070,CD82,ABHD11,THOC3,IRAK1,CYB561D2,RNPC3,ABCF2,LRRC59
12071,NUPL1,AZI2,RNMT,FAM122A,ZNF584,UBE3B,ARHGEF6,HERC5
12072,PPP1R37,C21orf2,CHPF,TBC1D5,PJA2,RCE1,PPP3CA,G0S2
12073,LITAF,PIAS1,KPNA2,NAALADL1,SKIV2L2,DHRS3,HDDC3,FDXR
